locus_tag	ftype	length_bp	gene	EC_number	COG	product
Agy99_00945	CDS	804	cut3_2	3.1.1.74		putative cutinase cut3
Agy99_00946	CDS	1509	eccB5_1	3.6.-.-		ESX-5 secretion system ATPase EccB5
Agy99_00947	CDS	1374	mycP4	3.4.21.-	COG1404	Mycosin-4
Agy99_00948	CDS	1383				hypothetical protein
Agy99_00949	CDS	3666	eccC		COG1674	ESX secretion system protein EccC
Agy99_00950	CDS	1245				hypothetical protein
Agy99_00951	CDS	354	esxU		COG4842	ESAT-6-like protein EsxU
Agy99_00952	CDS	297	esxT		COG4842	ESAT-6-like protein EsxT
Agy99_00953	CDS	444	rplM		COG0102	50S ribosomal protein L13
Agy99_00954	CDS	459	rpsI		COG0103	30S ribosomal protein S9
Agy99_00955	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
Agy99_00956	CDS	312				hypothetical protein
Agy99_00957	CDS	1398				hypothetical protein
Agy99_00958	CDS	177				hypothetical protein
Agy99_00959	CDS	864		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
Agy99_00960	CDS	840				hypothetical protein
Agy99_00961	CDS	1908	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
Agy99_00962	CDS	597				hypothetical protein
Agy99_00963	CDS	1302				hypothetical protein
Agy99_00964	CDS	195				hypothetical protein
Agy99_00965	CDS	678				hypothetical protein
Agy99_00966	CDS	1434	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
Agy99_00967	CDS	1386	gadA	4.1.1.15	COG0076	Glutamate decarboxylase
Agy99_00968	CDS	1167	alr	5.1.1.1	COG0787	Alanine racemase
Agy99_00969	CDS	1122	rutD_2	3.5.1.-		Putative aminoacrylate hydrolase RutD
Agy99_00970	CDS	471	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
Agy99_00971	CDS	627			COG1214	putative protein
Agy99_00972	CDS	477	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
Agy99_00973	CDS	1032	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
Agy99_00974	CDS	303	groS		COG0234	10 kDa chaperonin
Agy99_00975	CDS	1620	groEL1		COG0459	60 kDa chaperonin 1
Agy99_00976	CDS	900				hypothetical protein
Agy99_00977	CDS	1302				hypothetical protein
Agy99_00978	CDS	342				hypothetical protein
Agy99_00979	CDS	438				hypothetical protein
Agy99_00980	CDS	1716				putative PPE family protein PPE40
Agy99_00981	CDS	219				hypothetical protein
Agy99_00982	CDS	390				hypothetical protein
Agy99_00983	CDS	1236				hypothetical protein
Agy99_00984	CDS	1656	nfdA_2	3.5.1.91		N-substituted formamide deformylase
Agy99_00985	CDS	309	whiB3			Redox- and pH-responsive transcriptional regulator WhiB3
Agy99_00986	CDS	1203				hypothetical protein
Agy99_00987	CDS	576	sigD			ECF RNA polymerase sigma factor SigD
Agy99_00988	CDS	1047	rsdA			Anti-sigma-D factor RsdA
Agy99_00989	CDS	414				putative protein
Agy99_00990	CDS	1599	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
Agy99_00991	CDS	1131		1.-.-.-	COG0516	putative oxidoreductase/MSMEI_1564
Agy99_00992	CDS	1827				putative PPE family protein PPE40
Agy99_00993	CDS	1746	choD_1	1.1.3.6	COG2303	Cholesterol oxidase
Agy99_00994	CDS	897		1.14.11.-	COG2175	Alpha-ketoglutarate-dependent sulfate ester dioxygenase
Agy99_00995	CDS	510				HTH-type transcriptional repressor
Agy99_00996	CDS	1917		3.2.1.-	COG1554	putative glycosyl hydrolase
Agy99_00997	CDS	1302				hypothetical protein
Agy99_00998	CDS	558			COG0637	putative protein
Agy99_00999	CDS	198				hypothetical protein
Agy99_01000	CDS	195				hypothetical protein
Agy99_01001	CDS	618				hypothetical protein
Agy99_01002	CDS	1557	qacA		COG0477	Antiseptic resistance protein
Agy99_01003	CDS	684				hypothetical protein
Agy99_01004	CDS	1530	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
Agy99_01005	CDS	675				hypothetical protein
Agy99_01006	CDS	660				putative protein
Agy99_01007	CDS	1530	dinB_1	2.7.7.7		DNA polymerase IV
Agy99_01008	CDS	624	rihA_1	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Agy99_01009	CDS	270	rihA_2	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Agy99_01010	CDS	2013				hypothetical protein
Agy99_01011	CDS	714		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
Agy99_01012	CDS	873				hypothetical protein
Agy99_01013	CDS	1173	otsB_1	3.1.3.12	COG0637	Trehalose-phosphate phosphatase
Agy99_01014	CDS	1161		2.3.1.20		Putative diacyglycerol O-acyltransferase
Agy99_01015	CDS	3267	dnaE2	2.7.7.7	COG0587	Error-prone DNA polymerase
Agy99_01016	CDS	177				hypothetical protein
Agy99_01017	CDS	255				hypothetical protein
Agy99_01018	CDS	1302				hypothetical protein
Agy99_01019	CDS	126				hypothetical protein
Agy99_01020	CDS	927				hypothetical protein
Agy99_01021	CDS	156				hypothetical protein
Agy99_01022	CDS	1521	narK_1		COG2223	Nitrate/nitrite transporter NarK
Agy99_01023	CDS	252	stf0	2.8.2.37	COG4424	Trehalose 2-sulfotransferase
Agy99_01024	CDS	555				hypothetical protein
Agy99_01025	CDS	1593				hypothetical protein
Agy99_01026	CDS	1632	rocA1	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 1
Agy99_01027	CDS	960	fadM	1.5.5.2	COG0506	Proline dehydrogenase 1
Agy99_01028	CDS	630				hypothetical protein
Agy99_01029	CDS	1170				hypothetical protein
Agy99_01030	CDS	456				hypothetical protein
Agy99_01031	CDS	429				hypothetical protein
Agy99_01032	CDS	549				hypothetical protein
Agy99_01033	CDS	1467	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
Agy99_01034	CDS	894				hypothetical protein
Agy99_01035	CDS	825				hypothetical protein
Agy99_01036	CDS	1419	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
Agy99_01037	CDS	1266				hypothetical protein
Agy99_01038	CDS	300				PE family protein PE13
Agy99_01039	CDS	1182				PPE family protein PPE18
Agy99_01040	CDS	408				hypothetical protein
Agy99_01041	CDS	1284	yhjE			Inner membrane metabolite transport protein YhjE
Agy99_01042	CDS	1308				hypothetical protein
Agy99_01043	CDS	324				hypothetical protein
Agy99_01044	CDS	501				hypothetical protein
Agy99_01045	CDS	945	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
Agy99_01046	CDS	1065	dapE_1	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
Agy99_01047	CDS	2145				hypothetical protein
Agy99_01048	CDS	522		3.2.2.-	COG1611	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
Agy99_01049	CDS	1782	menE_2	6.2.1.26		2-succinylbenzoate--CoA ligase
Agy99_01050	CDS	876	folP2		COG0294	Inactive dihydropteroate synthase 2
Agy99_01051	CDS	984		2.4.1.266	COG0463	Glucosyl-3-phosphoglycerate synthase
Agy99_01052	CDS	372				hypothetical protein
Agy99_01053	CDS	579	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
Agy99_01054	CDS	168				hypothetical protein
Agy99_01055	CDS	600	glgM_1	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
Agy99_01056	CDS	1866				putative PPE family protein PPE40
Agy99_01057	CDS	2676				hypothetical protein
Agy99_01058	CDS	1335				IS256 family transposase IS2606
Agy99_01059	CDS	1638				hypothetical protein
Agy99_01060	CDS	1077		1.2.1.3		Putative aldehyde dehydrogenase
Agy99_01061	CDS	198				hypothetical protein
Agy99_01062	CDS	807				hypothetical protein
Agy99_01063	CDS	1149	fadA_3	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
Agy99_01064	CDS	804	caiD_3	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
Agy99_01065	CDS	363				hypothetical protein
Agy99_01066	CDS	615				hypothetical protein
Agy99_01067	CDS	435				hypothetical protein
Agy99_01068	CDS	420				hypothetical protein
Agy99_01069	CDS	1332				IS256 family transposase IS2606
Agy99_01070	CDS	552				hypothetical protein
Agy99_01071	CDS	1302				hypothetical protein
Agy99_01072	CDS	1335				IS256 family transposase IS2606
Agy99_01073	CDS	393				hypothetical protein
Agy99_01074	CDS	123				hypothetical protein
Agy99_01075	CDS	276				hypothetical protein
Agy99_01076	CDS	1269				hypothetical protein
Agy99_01077	CDS	510				hypothetical protein
Agy99_01078	CDS	978				hypothetical protein
Agy99_01079	CDS	981				hypothetical protein
Agy99_01080	CDS	720				hypothetical protein
Agy99_01081	CDS	483				hypothetical protein
Agy99_01082	CDS	885				hypothetical protein
Agy99_01083	CDS	804	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
Agy99_01084	CDS	1098	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
Agy99_01085	CDS	762		1.-.-.-		putative oxidoreductase
Agy99_01086	CDS	156				hypothetical protein
Agy99_01087	CDS	2343	mmpL3_2		COG2409	Trehalose monomycolate exporter MmpL3
Agy99_01088	CDS	693				hypothetical protein
Agy99_01089	CDS	639				hypothetical protein
Agy99_01090	CDS	705	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacylase
Agy99_01091	CDS	366				hypothetical protein
Agy99_01092	CDS	273				hypothetical protein
Agy99_01093	CDS	576				hypothetical protein
Agy99_01094	CDS	516				hypothetical protein
Agy99_01095	CDS	444		1.-.-.-		F420H(2)-dependent reductase
Agy99_01096	CDS	189				putative proteinA
Agy99_01097	CDS	405				hypothetical protein
Agy99_01098	CDS	1302				hypothetical protein
Agy99_01099	CDS	1122				hypothetical protein
Agy99_01100	CDS	111				hypothetical protein
Agy99_01101	CDS	576				hypothetical protein
Agy99_01102	CDS	147				hypothetical protein
Agy99_01103	CDS	1212				hypothetical protein
Agy99_01104	CDS	627				hypothetical protein
Agy99_01105	CDS	1269	pimE	2.4.1.-		Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase
Agy99_01106	CDS	312		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
Agy99_01107	CDS	579				hypothetical protein
Agy99_01108	CDS	1887	typA		COG1217	GTP-binding protein TypA/BipA
Agy99_01109	CDS	2001	lpqW		COG0747	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW
Agy99_01110	CDS	1302				hypothetical protein
Agy99_01111	CDS	1335				IS256 family transposase IS2606
Agy99_01112	CDS	1773				hypothetical protein
Agy99_01113	CDS	429				hypothetical protein
Agy99_01114	CDS	1131				hypothetical protein
Agy99_01115	CDS	279				hypothetical protein
Agy99_01116	CDS	267				hypothetical protein
Agy99_01117	CDS	906	mshB	3.5.1.103	COG2120	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
Agy99_01118	CDS	108				hypothetical protein
Agy99_01119	CDS	360				hypothetical protein
Agy99_01120	CDS	888				hypothetical protein
Agy99_01121	CDS	2571	fbiC		COG1060	FO synthase
Agy99_01122	CDS	2544				hypothetical protein
Agy99_01123	CDS	336				hypothetical protein
Agy99_01124	CDS	2025	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
Agy99_01125	CDS	744				hypothetical protein
Agy99_01126	CDS	327	fdxA_1		COG1146	Ferredoxin
Agy99_01127	CDS	1098	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
Agy99_01128	CDS	1719				hypothetical protein
Agy99_01129	CDS	1131				hypothetical protein
Agy99_01130	CDS	741	rox	1.14.13.-	COG0654	Rifampicin monooxygenase
Agy99_01131	CDS	531	oxyS_1	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
Agy99_01132	CDS	582				hypothetical protein
Agy99_01133	CDS	1335				IS256 family transposase IS2606
Agy99_01134	CDS	441				hypothetical protein
Agy99_01135	CDS	636	PE3_1			PE family protein PE3
Agy99_01136	CDS	1518	PE3_2			PE family protein PE3
Agy99_01137	CDS	921	aidA_1			Quorum-quenching protein AidA
Agy99_01138	CDS	978	ord_1	1.4.1.26		2,4-diaminopentanoate dehydrogenase
Agy99_01139	CDS	741	fabG3	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
Agy99_01140	CDS	1341		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
Agy99_01141	CDS	546				hypothetical protein
Agy99_01142	CDS	465				hypothetical protein
Agy99_01143	CDS	339				hypothetical protein
Agy99_01144	CDS	180				hypothetical protein
Agy99_01145	CDS	705				hypothetical protein
Agy99_01146	CDS	837				hypothetical protein
Agy99_01147	CDS	921	ssuD_2	1.14.14.5		Alkanesulfonate monooxygenase
Agy99_01148	CDS	522				hypothetical protein
Agy99_01149	CDS	1287				hypothetical protein
Agy99_01150	CDS	1170	fldA_1	2.8.3.17		Cinnamoyl-CoA:phenyllactate CoA-transferase
Agy99_01151	CDS	468				hypothetical protein
Agy99_01152	CDS	381				hypothetical protein
Agy99_01153	CDS	1209		1.14.-.-	COG2124	Cytochrome P450 130
Agy99_01154	CDS	282				hypothetical protein
Agy99_01155	CDS	666	tdh_2	1.1.1.103		L-threonine 3-dehydrogenase
Agy99_01156	CDS	762	garL	4.1.2.20		5-keto-4-deoxy-D-glucarate aldolase
Agy99_01157	CDS	735	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
Agy99_01158	CDS	1593		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
Agy99_01159	CDS	906	aes_1	3.1.1.-		Acetyl esterase
Agy99_01160	CDS	900		1.1.1.306		S-(hydroxymethyl)mycothiol dehydrogenase
Agy99_01161	CDS	498				hypothetical protein
Agy99_01162	CDS	441				hypothetical protein
Agy99_01163	CDS	693	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
Agy99_01164	CDS	561		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
Agy99_01165	CDS	912	lcfB_3	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
Agy99_01166	CDS	777	mlaE_1		COG0767	Intermembrane phospholipid transport system permease protein MlaE
Agy99_01167	CDS	870				hypothetical protein
Agy99_01168	CDS	1305				hypothetical protein
Agy99_01169	CDS	1041				hypothetical protein
Agy99_01170	CDS	1566				hypothetical protein
Agy99_01171	CDS	1608				hypothetical protein
Agy99_01172	CDS	1215	lprN_1			Lipoprotein LprN
Agy99_01173	CDS	1554				hypothetical protein
Agy99_01174	CDS	729				hypothetical protein
Agy99_01175	CDS	990				hypothetical protein
Agy99_01176	CDS	558				hypothetical protein
Agy99_01177	CDS	795				hypothetical protein
Agy99_01178	CDS	678				hypothetical protein
Agy99_01179	CDS	426				hypothetical protein
Agy99_01180	CDS	1374				hypothetical protein
Agy99_01181	CDS	165		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
Agy99_01182	CDS	684		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
Agy99_01183	CDS	1428				hypothetical protein
Agy99_01184	CDS	1062	sigG		COG1595	ECF RNA polymerase sigma factor SigG
Agy99_01185	CDS	840		3.1.1.23	COG2267	Monoacylglycerol lipase
Agy99_01186	CDS	750				hypothetical protein
Agy99_01187	CDS	525				hypothetical protein
Agy99_01188	CDS	2136	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
Agy99_01189	CDS	147	mymT			Metallothionein
Agy99_01190	CDS	639				hypothetical protein
Agy99_01191	CDS	1176				hypothetical protein
Agy99_01192	CDS	702				hypothetical protein
Agy99_01193	CDS	1695	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
Agy99_01194	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
Agy99_01195	CDS	1308			COG2814	Chloramphenicol efflux pump
Agy99_01196	CDS	999				hypothetical protein
Agy99_01197	CDS	615			COG1309	putative HTH-type transcriptional regulator
Agy99_01198	CDS	1122	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
Agy99_01199	CDS	1167				hypothetical protein
Agy99_01200	CDS	1995	pepO	3.4.24.-	COG3590	Neutral endopeptidase
Agy99_01201	CDS	648				hypothetical protein
Agy99_01202	CDS	690				hypothetical protein
Agy99_01203	CDS	540				hypothetical protein
Agy99_01204	CDS	3057			COG2409	Heme uptake protein MmpL11
Agy99_01205	CDS	510				hypothetical protein
Agy99_01206	CDS	1218				hypothetical protein
Agy99_01207	CDS	636			COG0628	Putative transport protein
Agy99_01208	CDS	567			COG0628	Putative transport protein
Agy99_01209	CDS	2883	mmpL3_3		COG2409	Trehalose monomycolate exporter MmpL3
Agy99_01210	CDS	738				hypothetical protein
Agy99_01211	CDS	909	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
Agy99_01212	CDS	1131				hypothetical protein
Agy99_01213	CDS	1587				hypothetical protein
Agy99_01214	CDS	1830	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
Agy99_01215	CDS	834		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
Agy99_01216	CDS	687	baiB_1	6.-.-.-	COG0318	Bile acid-coenzyme A ligase
Agy99_01217	CDS	969	fadJ_3	5.1.2.3		Fatty acid oxidation complex subunit alpha
Agy99_01218	CDS	399				hypothetical protein
Agy99_01219	CDS	1026	mcd_1	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
Agy99_01220	CDS	1302				hypothetical protein
Agy99_01221	CDS	159				hypothetical protein
Agy99_01222	CDS	993	mch_1	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
Agy99_01223	CDS	651				hypothetical protein
Agy99_01224	CDS	456				hypothetical protein
Agy99_01225	CDS	1323				hypothetical protein
Agy99_01226	CDS	2025				hypothetical protein
Agy99_01227	CDS	519				hypothetical protein
Agy99_01228	CDS	1251				hypothetical protein
Agy99_01229	CDS	234		2.3.1.20		Putative diacyglycerol O-acyltransferase
Agy99_01230	CDS	930				hypothetical protein
Agy99_01231	CDS	273		2.3.1.20		Putative diacyglycerol O-acyltransferase
Agy99_01232	CDS	783	caiD_4	4.2.1.149		Carnitinyl-CoA dehydratase
Agy99_01233	CDS	1488	menE_3	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
Agy99_01234	CDS	297				hypothetical protein
Agy99_01235	CDS	1728		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase fadD25
Agy99_01236	CDS	2943				hypothetical protein
Agy99_01237	CDS	1650				hypothetical protein
Agy99_01238	CDS	621			COG1309	putative HTH-type transcriptional regulator
Agy99_01239	CDS	144				hypothetical protein
Agy99_01240	CDS	834	echA8_2	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
Agy99_01241	CDS	1467	geoB_1	1.2.1.86		Geranial dehydrogenase
Agy99_01242	CDS	768		2.1.1.-		putative methyltransferase
Agy99_01243	CDS	1164	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
Agy99_01244	CDS	1800				hypothetical protein
Agy99_01245	CDS	1281	porA			Porin PorA
Agy99_01246	CDS	1245				hypothetical protein
Agy99_01247	CDS	288				hypothetical protein
Agy99_01248	CDS	1302				hypothetical protein
Agy99_01249	CDS	1251				hypothetical protein
Agy99_01250	CDS	258				hypothetical protein
Agy99_01251	CDS	1116				hypothetical protein
Agy99_01252	CDS	216				hypothetical protein
Agy99_01253	CDS	366				hypothetical protein
Agy99_01254	CDS	747				hypothetical protein
Agy99_01255	CDS	504				hypothetical protein
Agy99_01256	CDS	1302				hypothetical protein
Agy99_01257	CDS	603		1.14.15.29	COG2124	Steroid C26-monooxygenase
Agy99_01258	CDS	414				hypothetical protein
Agy99_01259	CDS	294				hypothetical protein
Agy99_01260	CDS	219				hypothetical protein
Agy99_01261	CDS	1128		1.13.12.-	COG2070	Putative monooxygenase
Agy99_01262	CDS	462				hypothetical protein
Agy99_01263	CDS	2505				hypothetical protein
Agy99_01264	CDS	303				hypothetical protein
Agy99_01265	CDS	1335				IS256 family transposase IS2606
Agy99_01266	CDS	1221	dinG_1	3.1.-.-		3'-5' exonuclease DinG
Agy99_01267	CDS	885				hypothetical protein
Agy99_01268	CDS	921	php		COG1735	Phosphotriesterase homology protein
Agy99_01269	CDS	117				hypothetical protein
Agy99_01270	CDS	1707				hypothetical protein
Agy99_01271	CDS	672				hypothetical protein
Agy99_01272	CDS	1377	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
Agy99_01273	CDS	1185				putative PPE family protein PPE47/PPE48
Agy99_01274	CDS	2370				hypothetical protein
Agy99_01275	CDS	1431				hypothetical protein
Agy99_01276	CDS	693				hypothetical protein
Agy99_01277	CDS	546				hypothetical protein
Agy99_01278	CDS	4179	aftD	2.4.2.47		Alpha-(1->3)-arabinofuranosyltransferase
Agy99_01279	CDS	174				Putative secreted protein.1
Agy99_01280	CDS	258				hypothetical protein
Agy99_01281	CDS	1194	lpqI	3.2.1.52	COG1472	Beta-hexosaminidase LpqI
Agy99_01282	CDS	627	betI_3			HTH-type transcriptional regulator BetI
Agy99_01283	CDS	1305	clcB_1			Voltage-gated ClC-type chloride channel ClcB
Agy99_01284	CDS	852				hypothetical protein
Agy99_01285	CDS	1365				hypothetical protein
Agy99_01286	CDS	1326	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
Agy99_01287	CDS	1836		1.3.8.1	COG1960	Butyryl-CoA dehydrogenase
Agy99_01288	CDS	489		1.5.1.37		Flavin reductase
Agy99_01289	CDS	873				hypothetical protein
Agy99_01290	CDS	156				hypothetical protein
Agy99_01291	CDS	747	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
Agy99_01292	CDS	1929	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
Agy99_01293	CDS	822				hypothetical protein
Agy99_01294	CDS	105				putative protein
Agy99_01295	CDS	960				hypothetical protein
Agy99_01296	CDS	318				hypothetical protein
Agy99_01297	CDS	771			COG2513	putative protein
Agy99_01298	CDS	459				18 kDa heat shock protein
Agy99_01299	CDS	594	nasD_1	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
Agy99_01300	CDS	1932	nasD_2	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
Agy99_01301	CDS	357	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
Agy99_01302	CDS	456				hypothetical protein
Agy99_01303	CDS	762				hypothetical protein
Agy99_01304	CDS	1152				hypothetical protein
Agy99_01305	CDS	645	narK_2		COG2223	Nitrate/nitrite transporter NarK
Agy99_01306	CDS	345				hypothetical protein
Agy99_01307	CDS	396				hypothetical protein
Agy99_01308	CDS	546	aac	2.3.1.-		Aminoglycoside 2'-N-acetyltransferase
Agy99_01309	CDS	870	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
Agy99_01310	CDS	672	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
Agy99_01311	CDS	993				hypothetical protein
Agy99_01312	CDS	1398	narK_3		COG2223	Nitrate/nitrite transporter NarK
Agy99_01313	CDS	1263				hypothetical protein
Agy99_01314	CDS	1674	lcfB_4	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
Agy99_01315	CDS	99				hypothetical protein
Agy99_01316	CDS	1341	tgs2_1	2.3.1.20		putative diacyglycerol O-acyltransferase tgs2
Agy99_01317	CDS	2187		1.3.99.-		Acyl-CoA dehydrogenase FadE34
Agy99_01318	CDS	969	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
Agy99_01319	CDS	1134				hypothetical protein
Agy99_01320	CDS	609				hypothetical protein
Agy99_01321	CDS	582				hypothetical protein
Agy99_01322	CDS	549				hypothetical protein
Agy99_01323	CDS	693				hypothetical protein
Agy99_01324	CDS	903			COG3662	putative protein
Agy99_01325	CDS	1587	PPE3		COG5651	putative PPE family protein PPE3
Agy99_01326	CDS	576		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
Agy99_01327	CDS	207				hypothetical protein
Agy99_01328	CDS	1863	eccA3		COG0464	ESX-3 secretion system protein EccA3
Agy99_01329	CDS	1602	eccB3	3.6.-.-		ESX-3 secretion system ATPase EccB3
Agy99_01330	CDS	4002	eccC3		COG1674	ESX-3 secretion system protein EccC3
Agy99_01331	CDS	309	PE5_1			PE family immunomodulator PE5
Agy99_01332	CDS	1554	PPE4		COG5651	PPE family protein PPE4
Agy99_01333	CDS	294	esxG			ESAT-6-like protein EsxG
Agy99_01334	CDS	291	esxR_1		COG4842	ESAT-6-like protein EsxR
Agy99_01335	CDS	897	espG3			ESX-3 secretion-associated protein EspG3
Agy99_01336	CDS	1419	eccD3			ESX-3 secretion system protein EccD3
Agy99_01337	CDS	1425	mycP3	3.4.21.-	COG1404	Mycosin-3
Agy99_01338	CDS	1014	eccE3			ESX-3 secretion system protein EccE3
Agy99_01339	CDS	1221				hypothetical protein
Agy99_01340	CDS	792	tam_2	2.1.1.144	COG4106	putative trans-aconitate 2-methyltransferase
Agy99_01341	CDS	1398		3.1.6.-		Ulvan-active sulfatase
Agy99_01342	CDS	651	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
Agy99_01343	CDS	300				hypothetical protein
Agy99_01344	CDS	483				hypothetical protein
Agy99_01345	CDS	654				hypothetical protein
Agy99_01346	CDS	720				hypothetical protein
Agy99_01347	CDS	489	baiE_2	4.2.1.106		Bile acid 7-alpha dehydratase
Agy99_01348	CDS	1230				hypothetical protein
Agy99_01349	CDS	1881	hscA_2			Chaperone protein HscA
Agy99_01350	CDS	1359				hypothetical protein
Agy99_01351	CDS	2535	tycC			Tyrocidine synthase 3
Agy99_01352	CDS	153	dhbF_3		COG1020	Dimodular nonribosomal peptide synthase
Agy99_01353	CDS	5877	lgrD_1			Linear gramicidin synthase subunit D
Agy99_01354	CDS	624				hypothetical protein
Agy99_01355	CDS	477	rebH	1.14.19.9		Flavin-dependent tryptophan halogenase RebH
Agy99_01356	CDS	333	prnA	1.14.19.9		Flavin-dependent tryptophan halogenase PrnA
Agy99_01357	CDS	1944				hypothetical protein
Agy99_01358	CDS	753				hypothetical protein
Agy99_01359	CDS	801				hypothetical protein
Agy99_01360	CDS	1302				hypothetical protein
Agy99_01361	CDS	387				hypothetical protein
Agy99_01362	CDS	2586	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Agy99_01363	CDS	477				hypothetical protein
Agy99_01364	CDS	1995			COG1122	putative ABC transporter ATP-binding protein
Agy99_01365	CDS	861			COG0619	putative protein
Agy99_01366	CDS	453	asnC_1		COG1522	Regulatory protein AsnC
Agy99_01367	CDS	876		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
Agy99_01368	CDS	1245	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
Agy99_01369	CDS	1437	yhdG_1		COG0531	putative amino acid permease YhdG
Agy99_01370	CDS	873			COG0589	Universal stress protein
Agy99_01371	CDS	1329				hypothetical protein
Agy99_01372	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
Agy99_01373	CDS	873	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
Agy99_01374	CDS	1518	tldD	3.4.-.-	COG0312	Metalloprotease TldD
Agy99_01375	CDS	1374				hypothetical protein
Agy99_01376	CDS	519			COG2128	putative protein
